workclass:Private, Precision:0.79, Recall:0.61, Fbeta:0.69
workclass:Self-emp-not-inc, Precision:0.72, Recall:0.56, Fbeta:0.63
workclass:Local-gov, Precision:0.68, Recall:0.64, Fbeta:0.66
workclass:State-gov, Precision:0.76, Recall:0.71, Fbeta:0.73
workclass:Self-emp-inc, Precision:0.71, Recall:0.77, Fbeta:0.74
workclass:Federal-gov, Precision:0.75, Recall:0.66, Fbeta:0.7
workclass:Without-pay, Precision:1.0, Recall:1.0, Fbeta:1.0
education:HS-grad, Precision:0.8, Recall:0.32, Fbeta:0.46
education:Some-college, Precision:0.68, Recall:0.51, Fbeta:0.59
education:Bachelors, Precision:0.73, Recall:0.83, Fbeta:0.78
education:Assoc-voc, Precision:0.76, Recall:0.56, Fbeta:0.64
education:Masters, Precision:0.81, Recall:0.9, Fbeta:0.85
education:11th, Precision:0.75, Recall:0.27, Fbeta:0.4
education:7th-8th, Precision:1.0, Recall:0.0, Fbeta:0.0
education:Assoc-acdm, Precision:0.74, Recall:0.51, Fbeta:0.6
education:Prof-school, Precision:0.88, Recall:0.9, Fbeta:0.89
education:10th, Precision:1.0, Recall:0.25, Fbeta:0.4
education:5th-6th, Precision:1.0, Recall:1.0, Fbeta:1.0
education:Doctorate, Precision:0.88, Recall:0.91, Fbeta:0.9
education:9th, Precision:1.0, Recall:0.0, Fbeta:0.0
education:12th, Precision:0.5, Recall:0.14, Fbeta:0.22
education:1st-4th, Precision:1.0, Recall:0.0, Fbeta:0.0
education:Preschool, Precision:1.0, Recall:1.0, Fbeta:1.0
marital-status:Married-civ-spouse, Precision:0.75, Recall:0.68, Fbeta:0.71
marital-status:Never-married, Precision:0.97, Recall:0.43, Fbeta:0.6
marital-status:Divorced, Precision:0.87, Recall:0.29, Fbeta:0.44
marital-status:Separated, Precision:1.0, Recall:0.43, Fbeta:0.6
marital-status:Widowed, Precision:1.0, Recall:0.17, Fbeta:0.29
marital-status:Married-AF-spouse, Precision:1.0, Recall:0.0, Fbeta:0.0
marital-status:Married-spouse-absent, Precision:1.0, Recall:0.2, Fbeta:0.33
occupation:Craft-repair, Precision:0.78, Recall:0.34, Fbeta:0.47
occupation:Prof-specialty, Precision:0.76, Recall:0.83, Fbeta:0.8
